time_sec,joint1,joint2
0.0,0.0,0.0
0.1,-0.003749999999999998,0.004999999999999998
0.2,-0.014999999999999989,0.01999999999999999
0.3,-0.03374999027068734,0.044999987027583135
0.4,-0.05999995859635951,0.07999994479514604
0.5,-0.09374989938451828,0.12499986584602439
0.6,-0.13124985558621446,0.174999807448286
0.7,-0.16874985558621364,0.22499980744828488
0.8,-0.20624985558621362,0.2749998074482849
0.9,-0.24374985558621362,0.32499980744828494
1.0,-0.2812498555862136,0.37499980744828487
1.1,-0.31874985558621194,0.4249998074482827
1.2,-0.3562498555862087,0.47499980744827835
1.3,-0.3937498555862053,0.5249998074482738
1.4,-0.4312498555862021,0.5749998074482696
1.5,-0.46874985558619875,0.6249998074482651
1.6,-0.5062498555861955,0.6749998074482608
1.7,-0.5399998844689006,0.7199998459585343
1.8,-0.5662499133516613,0.7549998844688819
1.9,-0.5849999422344222,0.7799999229792297
2.0,-0.5962499711171831,0.7949999614895776
2.1,-0.5999999999999441,0.7999999999999257
2.100000385,-0.5999999999999996,0.7999999999999997
