time_sec,joint1,joint2
0.0,0.0,0.0
0.1,-0.001417324834009695,0.004999999999999995
0.2,-0.005669299336038778,0.019999999999999973
0.3,-0.012755923506087239,0.0449999999999999
0.4,-0.022677186802845934,0.07999996281265609
0.5,-0.03543307650162415,0.12499984354815072
0.6,-0.04960631413229756,0.1749998057677376
0.7,-0.0637795624723943,0.22499980576773684
0.8,-0.07795281081249163,0.2749998057677381
0.9,-0.09212605915258917,0.3249998057677402
1.0,-0.10629930749268675,0.3749998057677423
1.1,-0.11983244412032117,0.4227416370787352
1.2,-0.13068337814967826,0.46102126701599944
1.3,-0.1386996625110161,0.489300896953264
1.4,-0.14388129720433454,0.5075805268905286
1.5,-0.14622828222963358,0.5158601568277932
1.5327962990000001,-0.14638072929937532,0.5163979554540631
