time_sec,joint1,joint2
0.0,0.0,0.0
0.1,-0.004999999999999998,-0.0002278065967507588
0.2,-0.019999999999999976,-0.0009112263870030344
0.3,-0.04499999999999985,-0.0020502593707568233
0.4,-0.07999997454577384,-0.003644904388284015
0.5,-0.12499992618206145,-0.005695161555526299
0.6,-0.17499988796547292,-0.007973225781835694
0.7,-0.22499988796547177,-0.010251291749343232
0.8,-0.274999887965472,-0.01252935771685083
0.9,-0.3249998879654736,-0.014807423684358492
1.0,-0.37499988796547523,-0.017085489651866154
1.1,-0.4249998879654714,-0.019363555619373567
1.2,-0.47480459500929595,-0.021632723782138014
1.3,-0.5178282706339663,-0.02359293920689096
1.4,-0.5508519462586364,-0.025097541438142384
1.5,-0.5738756218833065,-0.026146530475892278
1.6,-0.589905890777997,-0.023635992267656114
1.7,-0.6017487586696744,-0.011858551870724135
1.8,-0.6044760421681942,0.0042984978041174775
1.9,-0.6043429634582879,0.027955765855611797
2.0,-0.6041536321071899,0.06161300920153279
2.1,-0.6039080480364295,0.10527024179149419
2.2,-0.6036272919573731,0.1551799668256538
2.3,-0.6033460280565358,0.2051799668256569
2.4,-0.6030647641556983,0.2551799668256599
2.5,-0.6027835002548612,0.30517996682566273
2.6,-0.6025022363540239,0.35517996682566577
2.7,-0.6022209724531865,0.4051799668256689
2.8,-0.6019397085523491,0.45517996682567197
2.9,-0.6016584446515119,0.5051799668256751
3.0,-0.6013771807506745,0.5551799668256779
3.1,-0.6010959168498373,0.6051799668256812
3.2,-0.6008146529489999,0.6551799668256841
3.3,-0.6005436363965879,0.7033583060304864
3.4,-0.6003244530266204,0.7423223126653485
3.5,-0.6001615224368204,0.7712863193002113
3.6,-0.6000548446271879,0.7902503259350744
3.7,-0.6000044195977229,0.7992143325699378
3.7396400659999998,-0.6000000000000001,0.7999999999999999
